"BD001","Rahim","O+","25","01700000000","Dhaka","true"
"BD002","Karim","A+","30","01800000000","Dhaka","false"
"BD003","Jashim Uddin","B+","28","01900000000","Sylhet","true"
"BD004","Shirin Akter","O-","24","01500000000","Khulna","true"
"BD005","Nayeem Islam","AB+","35","01600000000","Rajshahi","false"
"BD006","Mahmud Ahmed","A+","41","01040123774","Khulna","true"
"BD007","Fatema Bhuiyan","A+","44","01662251294","Mymensingh","false"
"BD008","Tanvir Hasan","AB+","58","01233892422","Cumilla","true"
"BD009","Sharmin Majumder","B-","21","01613715749","Rajshahi","true"
"BD010","Rafik Sikder","B-","26","01900901898","Barishal","false"
"BD011","Nusrat Uddin","O-","35","01082593150","Mymensingh","true"
"BD012","Jahid Parvez","A+","51","01678152394","Khulna","true"
"BD013","Shirin Bhuiyan","A-","51","01780928470","Cumilla","true"
"BD014","Sabbir Karmakar","AB-","27","01313259760","Dhaka","true"
"BD015","Salma Majumder","AB-","50","01886326664","Narayanganj","true"
"BD016","Nasir Ahmed","A-","27","01101801187","Rajshahi","true"
"BD017","Nazma Uddin","B-","57","01180474708","Khulna","true"
"BD018","Faruk Hasan","O-","32","01693697263","Mymensingh","false"
"BD019","Rupa Bhuiyan","O-","53","01086723976","Sylhet","false"
"BD020","Shakil Sikder","AB+","38","01908955862","Sylhet","false"
"BD021","Mitu Majumder","AB-","31","01111548425","Cumilla","false"
"BD022","Rakib Parvez","O+","53","01018166237","Sylhet","false"
"BD023","Shila Uddin","A+","53","01464231547","Rangpur","true"
"BD024","Sohel Karmakar","O-","40","01025463065","Chittagong","false"
"BD025","Rebeka Bhuiyan","A+","23","01227310571","Rajshahi","true"
"BD026","Rubel Ahmed","A+","49","01098389752","Rajshahi","true"
"BD027","Roksana Majumder","B+","32","01221451308","Chittagong","false"
"BD028","Kamal Hasan","O-","20","01178205381","Sylhet","true"
"BD029","Parvin Uddin","O+","30","01028990953","Rangpur","true"
"BD030","Jashim Sikder","O+","25","01106992165","Cumilla","true"
"BD031","Kohinoor Bhuiyan","B-","27","01306572396","Chittagong","true"
"BD032","Nayeem Parvez","O-","47","01981473604","Narayanganj","true"
"BD033","Munni Majumder","AB+","23","01678444126","Rangpur","true"
"BD034","Emon Karmakar","O-","18","01052361628","Sylhet","false"
"BD035","Tania Uddin","AB-","57","01886219164","Chittagong","true"
"BD036","Milon Ahmed","O+","22","01807490866","Chittagong","true"
"BD037","Sultana Bhuiyan","A-","19","01294461161","Barishal","true"
"BD038","Rashed Hasan","AB-","19","01830414776","Narayanganj","true"
"BD039","Jasmin Majumder","O+","41","01039180787","Dhaka","true"
"BD040","Arif Sikder","O-","22","01689022796","Khulna","true"
"BD041","Rumi Uddin","AB-","40","01133525347","Rangpur","true"
"BD042","Mizan Parvez","O+","40","01674734571","Mymensingh","false"
"BD043","Lima Bhuiyan","O+","59","01223066045","Khulna","true"
"BD044","Imran Karmakar","AB+","31","01088256593","Dhaka","false"
"BD045","Nipa Majumder","O-","54","01972797214","Dhaka","true"
"BD046","Shuvo Ahmed","O+","27","01984628640","Mymensingh","true"
"BD047","Moushumi Uddin","B+","41","01580575260","Chittagong","true"
"BD048","Tuhin Hasan","A+","50","01497765084","Cumilla","true"
"BD049","Popy Bhuiyan","A-","55","01487554538","Dhaka","false"
